hex,dec,name,bit0,bit1,bit2,bit3,bit4,bit5,bit6,bit7
0x03,003,PINB,PB0,PB1,PB2,PB3,PB4,PB5,-,-,
0x04,004,DDRB,PB0,PB1,PB2,PB3,PB4,PB5,-,-,
0x05,005,PORTB,PB0,PB1,PB2,PB3,PB4,PB5,-,-,
0x06,006,PINC,AC0,AC1,AC2,AC3,AC4,AC5,-,-,
0x07,007,DDRC,AC0,AC1,AC2,AC3,AC4,AC5,-,-,
0x08,008,PORTC,AC0,AC1,AC2,AC3,AC4,AC5,-,-,
0x09,009,PIND,PD0,PD1,PD2,PD3,PD4,PD5,PD6,PD7,
0x0A,010,DDRD,PD0,PD1,PD2,PD3,PD4,PD5,PD6,PD7,
0x0B,011,PORTD,PD0,PD1,PD2,PD3,PD4,PD5,PD6,PD7,
0x15,021,TIFR0,TOV0,OCF0A,OCF0B,-,-,-,-,-,
0x16,022,TIFR1,TOV1,OCF1A,OCF1B,-,-,-,-,-,
0x17,023,TIFR2,TOV2,OCF2A,OCF2B,-,-,-,-,-,
0x1B,027,PCIFR,PCIF0,PCIF1,PCIF2,-,-,-,-,-,
0x1C,028,EIFR,INTF0,INTF1,-,-,-,-,-,-,
0x1D,029,EIMSK,INT0,INT1,-,-,-,-,-,-,
0x1E,030,GPIOR0,-,-,-,-,-,-,-,
0x1F,031,EECR,EERE,EEPE,EEMPE,EERIE,EEPM0,EEPM1,-,-,
0x21,033,EEARL,-,-,-,-,-,-,-,-,
0x22,034,EEARH,-,-,-,-,-,-,-,-,
0x23,035,GTCCR,PSRSYNC,PSRASY,-,-,-,-,-,TSM,
0x24,036,TCCR0A,WGM00,WGM01,-,-,COM0B0,COM0B1,COM0A0,COM0A1,
0x25,037,TCCR0B,CS00,CS01,CS02,WGM02,-,-,FOC0A,FOC0B,
0x26,038,TCNT0,-,-,-,-,-,-,-,-,
0x27,039,OCR0A,-,-,-,-,-,-,-,-,
0x28,040,OCR0B,-,-,-,-,-,-,-,-,
0x2A,042,GPIOR1,-,-,-,-,-,-,-,-,
0x2B,043,GPIOR2,-,-,-,-,-,-,-,-,
0x2C,044,SPCR,SPR0,SPR1,CPHA,CPOL,MSTR,DORD,SPE,SPIE,
0x2D,045,SPSR,SPI2X,-,-,-,-,-,WCOL,SPIF,
0x2E,046,SPDR,-,-,-,-,-,-,-,-,
0x30,048,ACSR,ACIS0,ACIS1,ACIC,ACIE,ACI,AC0,ACBG,ACD,
0x33,051,SMCR,SE,SM0,SM1,SM2,-,-,-,-,
0x34,052,MCUSR,PORF,EXTRF,BORF,WDRF,-,-,-,-,
0x35,053,MCUCR,IVCE,IVSEL,-,-,PUD,BODSE,BODS,-,
0x37,055,SPMCSR,SELFPRGN,PGERS,PGWRT,BLBSET,RWWSRE,-,RWWSB,SPMIE,
0x3D,061,SPL,SP0,SP1,SP2,SP3,SP4,SP5,SP6,SP7,
0x3E,062,SPH,SP8,SP9,SP10,-,-,-,-,-,
0x3F,063,SREG,C,Z,N,V,S,H,T,I,
0x60,096,WDTCSR,WDP0,WDP1,WDP2,WDE,WDP3,WDIE,WDIF,
0x61,097,CLKPR,CLKPS0,CLKPS1,CLKPS2,CLKPS3,-,-,-,CLKPCE,
0x64,100,PRR,PRADC,PRUSAR0,PRSPI,PRTIM1,-,PRTIM0,PRTIM2,PRTWI,
0x66,102,OSCCAL,-,-,-,-,-,-,-,-,
0x68,104,PCICR,PCIE0,PCIE1,PCIE2,-,-,-,-,-,
0x6B,107,PCMSK0,PCINT0,PCINT1,PCINT2,PCINT3,PCINT4,PCINT5,PCINT6,PCINT7,
0x6C,108,PCMSK1,PCINT8,PCINT9,PCINT10,PCINT11,PCINT12,PCINT13,PCINT14,-,
0x6D,109,PCMSK2,PCINT16,PCINT17,PCINT18,PCINT19,PCINT20,PCINT21,PCINT22,PCINT23,
0x6E,110,TIMSK0,TOIE0,OCIE0A,OCIE0B,-,-,-,-,-,
0x6F,111,TIMSK1,TOIE1,OCIE1A,OCIE1B,-,-,ICIE1,-,-,
0x70,112,TIMSK2,TOIE2,OCIE2A,OCIE2B,-,-,-,-,-,
0x78,120,ADCL,-,-,-,-,-,-,-,-,
0x79,121,ADCH,-,-,-,-,-,-,-,-,
0x7A,122,ADCSRA,ADPS0,ADPS1,ADPS2,ADIE,ADIF,ADATE,ADSC,ADEN,
0x7B,123,ADCSRB,ADTS0,ADTS1,ADTS2,-,-,-,ACME,-,
0x7C,124,ADMUX,MUX0,MUX1,MUX2,MUX3,-,ADLAR,REFS0,REFS1,
0x7E,126,DIDR0,ADC0D,ADC1D,ADC2D,ADC3D,ADC4D,ADC5D,-,-,
0x7F,127,DIDR1,AIN0D,AIN1D,-,-,-,-,-,-,
0x80,128,TCCR1A,WGM10,WGM11,-,-,COM1B0,COM1B1,COM1A0,COM1A1,
0x81,129,TCCR1B,CS10,CS11,CS12,WGM12,WGM13,-,ICES1,ICNC1,
0x82,130,TCCR1C,-,-,-,-,-,-,FOC1B,FOC1A,
0x84,132,TCNT1L,-,-,-,-,-,-,-,-,
0x85,133,TCNT1H,-,-,-,-,-,-,-,-,
0x86,134,ICR1L,-,-,-,-,-,-,-,-,
0x87,135,ICR1H,-,-,-,-,-,-,-,-,
0x88,136,OCR1AL,-,-,-,-,-,-,-,-,
0x89,137,OCR1AH,-,-,-,-,-,-,-,-,
0x8A,138,OCR1BL,-,-,-,-,-,-,-,-,
0x8B,139,OCR1BH,-,-,-,-,-,-,-,-,
0xB0,176,TCCR2A,WGM20,WGM21,-,-,COM2B0,COM2B1,COM2A0,COM2A1,
0xB1,177,TCCR2B,CS20,CS21,CS22,WGM22,-,-,FOC2B,FOC2A,
0xB2,178,TCNT2,-,-,-,-,-,-,-,-,
0xB3,179,OCR2A,-,-,-,-,-,-,-,-,
0xB4,180,OCR2B,-,-,-,-,-,-,-,-,
0xB6,182,ASSR,TCR2BUB,TCR2AUB,OCR2BUB,OCR2AUB,AS2,EXCLK,-,
0xB8,184,-,-,-,-,-,-,-,-,
0xB9,185,TWSR,TWPS0,TWPS1,-,TWS3,TWS4,TWS5,TWS6,TWS7,
0xBA,186,TWAR,TWGCE,TWA0,TWA1,TWA2,TWA3,TWA4,TWA5,TWA6,
0xBB,187,TWDR,-,-,-,-,-,-,-,-,
0xBC,188,TWCR,TWIE,-,TWEN,TWWC,TWSTO,TWSTA,TWEA,TWINT,
0xBD,189,TWAMR,-,TWAM0,TWAM1,TWAM2,TWAM3,TWAM4,TWAM5,TWAM6,
0xC0,192,UCSR0A,MPCM0,U2X0,UPE0,DOR0,FE0,UDRE0,TXC0,RXC0,
0xC1,194,UCSR0B,TXB80,RXB80,UCSZ02,TXEN0,RXEN0,UDRIE0,TXCIE0,RXCIE0,
0xC2,194,UCSR0C,UCPOL0,UCSZ00 / UCPHA0,UCSZ01 / UDORD0,USBS0,UPM01,UMSEL00,UMSEL01,
0xC4,196,UBRR0L,-,-,-,-,-,-,-,-,
0xC5,197,UBRR0H,-,-,-,-,-,-,-,-,
0xC6,198,UDR0,-,-,-,-,-,-,-,-,
